,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RC/
Antibiotics",,,"Cefoxitin
(n=8169)",,,"Oxacillin
(n=2987)",,,"Vancomycin*
(n=7537)",,,"Teicoplanin
(n=3396)",,,"Erythromycin
(n=9077)",,,"Tetracycline
(n=7961)",,,"Tigecycline
(n=2411)",,,"Ciprofloxacin
(n=8858)",,,"Clindamycin
(n=9033)",,,,Trimethoprim-,,"Linezolid
(n=8828)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sulfamethoxazole,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(n=8411),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,n(%),,,n(%),,,n(%),,,n(%),,,n(%),,,n(%),,,n(%),,,n(%),,,n(%),,,n(%),,,n(%),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1,,,"343 / 589
(58.2)",,,-,,,"502 / 502
(100.0)",,,-,,,"238 / 589
(40.4)",,,"450 / 589
(76.4)",,,-,,,"252 / 589
(42.8)",,,"434 / 589
(73.7)",,,"446 / 589
(75.7)",,,"588 / 589
(99.8)",,
RC2,,,*0 / 1,,,"397 / 592
(67.1)",,,"577 / 577
(100)",,,"356 / 364
(97.8)",,,"224 / 583
(38.4)",,,*1 / 1,,,*1 / 1,,,43 / 572 (7.5),,,"275 / 513
(53.6)",,,*1 / 1,,,"306 / 306
(100.0)",,
RC3,,,"165 / 282
(58.5)",,,-,,,"41 / 41
(100.0)",,,-,,,"118 / 250
(47.2)",,,"138 / 158
(87.3)",,,-,,,36 / 41 (87.8),,,"115 / 170
(67.6)",,,"235 / 248
(94.8)",,,"277 / 279
(99.3)",,
RC4,,,"1421 /
1866
(76.2)",,,*1 / 4,,,"1862 / 1862
(100.0)",,,"421 / 421
(100.0)",,,"1113 / 1878
(59.3)",,,"1714 / 1874
(91.5)",,,"299 / 299
(100)",,,"574 / 1900
(30.2)",,,"1663 / 1960
(84.8)",,,"1302 / 1885
(69.1)",,,"1862 /
1867
(99.7)",,
RC5,,,"161 / 246
(65.4)",,,"167 / 255
(65.5)",,,"156 / 156
(100.0)",,,"139 / 139
(100.0)",,,"97 / 255
(38.0)",,,"202 / 244
(82.8)",,,*17 / 17,,,17 / 245 (6.9),,,"233 / 245
(95.1)",,,"170 / 251
(67.7)",,,"257 / 257
(100.0)",,
RC6,,,"193 / 400
(48.3)",,,"190 / 392
(48.5)",,,"402 / 402
(100)",,,"403 / 403
(100.0)",,,"118 / 400
(29.5)",,,"319 / 371
(86.0)",,,"356 / 356
(100)",,,14 / 403 (3.5),,,"272 / 403
(67.5)",,,"194 / 403
(48.1)",,,"393 / 401
(98.0)",,
RC7,,,"22 / 51
(43.1)",,,"33 / 102
(32.4)",,,"121 / 121
(100)",,,"116 / 118
(98.3)",,,"47 / 131
(35.9)",,,"103 / 117
(88.0)",,,"101 / 101
(100)",,,"13 / 115
(11.3)",,,"105 / 132
(79.5)",,,"91 / 124
(73.4)",,,"132 / 134
(98.5)",,
RC8,,,"172 / 238
(72.3)",,,"174 / 237
(73.4)",,,"238 / 238
(100.0)",,,"237 / 237
(100.0)",,,"88 / 238
(37.0)",,,"218 / 231
(94.4)",,,"238 / 238
(100)",,,"45 / 238
(18.9)",,,"231 / 237
(97.5)",,,"81 / 145
(55.9)",,,"238 / 238
(100.0)",,
RC9,,,"178 / 337
(52.8)",,,-,,,-,,,-,,,"101 / 337
(30.0)",,,"295 / 336
(87.8)",,,-,,,"135 / 337
(40.1)",,,"283 / 336
(84.2)",,,"277 / 337
(82.2)",,,"335 / 337
(99.4)",,
RC10,,,"153 / 259
(59.1)",,,-,,,"258 / 258
(100.0)",,,"258 / 258
(100.0)",,,"95 / 249
(38.2)",,,-,,,-,,,"48 / 258
(18.6)",,,"193 / 260
(74.2)",,,"208 / 253
(82.2)",,,"250 / 250
(100.0)",,
RC11,,,"14 / 33
(42.4)",,,"80 / 203
(39.4)",,,"212 / 212
(100)",,,"211 / 211
(100.0)",,,"69 / 222
(31.1)",,,"210 / 244
(86.1)",,,"200 / 200
(100)",,,12 / 246 (4.9),,,"201 / 241
(83.4)",,,"131 / 227
(57.7)",,,"225 / 238
(94.5)",,
RC12,,,"116 / 192
(60.4)",,,"77 / 216
(35.6)",,,"217 / 217
(100)",,,"210 / 210
(100.0)",,,"76 / 227
(33.5)",,,"179 / 211
(84.8)",,,"210 / 210
(100)",,,"8 / 228
(3.5)",,,"155 / 226
(68.6)",,,"79 / 225
(35.1)",,,"149 / 230
(64.8)",,
